Experiment,Num Runs,Mean Cost,Std,Min Cost,Max Cost,Mean Runtime (s)
1: DE/rand/1/bin,5,0.5969754342559739,0.5449615193640653,0.0,0.9949590570932898,0.04013719181530177
2: DE/best/1/bin,5,2.217993106401953,1.8417299700102945,0.05351581468569577,4.974790247647377,0.036076149973087016
3: F Sweep,20,1.3792043310484223,2.2043143486952905,0.0,8.471419092458003,0.033736123010749
4: CR Sweep,20,0.04974795285466449,0.22247960864896904,0.0,0.9949590570932898,0.036389801983023065
5: Dynamic F,5,0.19899181141865796,0.44495921729793814,0.0,0.9949590570932898,0.036758925206959246
