run_id,experiment,seed,strategy,F,CR,ps,dynamic_F,best_x1,best_x2,best_cost,generations,runtime_s,final_pop_mean,final_pop_std
43,Exp4_CR_sweep,3,rand,1.2,0.5,10,FALSE,-4.52E-10,1.93E-10,0,501,0.033476625,0,0
44,Exp4_CR_sweep,4,rand,1.2,0.5,10,FALSE,1.62E-09,0.994958638,0.994959057,501,0.03347925,0.994959057,0
45,Exp4_CR_sweep,5,rand,1.2,0.5,10,FALSE,1.44E-09,9.33E-10,0,501,0.035079083,0,0
46,Exp4_CR_sweep,1,rand,1.2,0.7,10,FALSE,7.24E-10,-1.55E-09,0,501,0.034441916,0,0
47,Exp4_CR_sweep,2,rand,1.2,0.7,10,FALSE,-7.03E-10,-3.81E-10,0,501,0.035068541,0,0
48,Exp4_CR_sweep,3,rand,1.2,0.7,10,FALSE,1.25E-09,1.31E-09,0,501,0.035029625,0,0
49,Exp4_CR_sweep,4,rand,1.2,0.7,10,FALSE,-8.50E-11,1.12E-09,0,501,0.034843625,0,0
50,Exp4_CR_sweep,5,rand,1.2,0.7,10,FALSE,3.42E-10,4.17E-11,0,501,0.034810666,0,0
51,Exp5_dynamic_F,1,rand,"U(0.5,1.0)",0,10,TRUE,-0.994958638,7.20E-10,0.994959057,501,0.037598541,0.994959057,0
52,Exp5_dynamic_F,2,rand,"U(0.5,1.0)",0,10,TRUE,-1.33E-09,7.19E-10,0,501,0.037383209,0,0
53,Exp5_dynamic_F,3,rand,"U(0.5,1.0)",0,10,TRUE,-1.41E-11,-1.05E-09,0,501,0.036620917,0,0
54,Exp5_dynamic_F,4,rand,"U(0.5,1.0)",0,10,TRUE,1.39E-09,-1.51E-09,0,501,0.0363775,0,0
55,Exp5_dynamic_F,5,rand,"U(0.5,1.0)",0,10,TRUE,-1.38E-09,-1.13E-09,0,501,0.035814459,0,0
